"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Nov-2024","EQ","963.90","983.90","963.50","963.90","974.70","977.50","976.10","1,189.00","456.25","4,10,461","40,06,52,564.50","42,611"
"13-Nov-2024","EQ","1,018.70","1,018.70","956.60","1,020.25","973.75","963.90","985.02","1,189.00","456.25","4,97,140","48,96,91,914.70","46,098"
"12-Nov-2024","EQ","1,005.00","1,045.95","1,002.05","996.40","1,018.15","1,020.25","1,031.40","1,189.00","456.25","5,34,441","55,12,22,840.05","40,659"
"11-Nov-2024","EQ","1,009.95","1,026.00","991.05","1,019.85","997.90","996.40","1,008.02","1,189.00","456.25","4,52,519","45,61,46,417.30","40,366"
"08-Nov-2024","EQ","1,036.80","1,036.80","1,013.00","1,037.25","1,020.00","1,019.85","1,022.00","1,189.00","456.25","2,75,331","28,13,88,103.15","20,536"
"07-Nov-2024","EQ","1,054.80","1,060.00","1,032.00","1,046.35","1,034.80","1,037.25","1,041.32","1,189.00","456.25","3,19,877","33,30,94,874.85","34,684"
"06-Nov-2024","EQ","1,037.00","1,049.90","1,032.10","1,025.45","1,047.90","1,046.35","1,041.53","1,189.00","456.25","5,87,954","61,23,71,513.00","46,765"
"05-Nov-2024","EQ","1,013.50","1,030.70","1,004.00","1,009.60","1,022.25","1,025.45","1,021.04","1,189.00","456.25","4,53,592","46,31,35,392.80","33,449"
"04-Nov-2024","EQ","1,015.00","1,023.95","990.85","1,013.00","1,005.00","1,009.60","1,005.00","1,189.00","456.25","4,82,359","48,47,71,121.85","39,077"
"01-Nov-2024","EQ","1,011.70","1,016.45","1,006.10","1,000.10","1,014.00","1,013.00","1,012.90","1,189.00","446.30","1,33,624","13,53,47,906.05","8,184"
"31-Oct-2024","EQ","949.25","1,006.00","947.40","957.95","999.00","1,000.10","984.70","1,189.00","446.30","9,05,255","89,14,01,606.25","53,108"
"30-Oct-2024","EQ","975.30","985.00","950.00","968.95","951.00","957.95","970.98","1,189.00","446.30","6,10,026","59,23,25,535.15","31,372"
"29-Oct-2024","EQ","1,020.00","1,020.00","934.80","966.90","975.65","968.95","963.14","1,189.00","446.30","16,14,342","1,55,48,43,428.85","92,862"
"28-Oct-2024","EQ","951.55","977.00","950.55","943.05","967.50","966.90","965.27","1,189.00","446.30","7,33,079","70,76,16,047.35","49,551"
"25-Oct-2024","EQ","985.00","1,004.40","930.05","977.70","938.00","943.05","953.83","1,189.00","425.55","9,18,380","87,59,82,358.00","65,072"
"24-Oct-2024","EQ","1,000.00","1,001.00","958.45","995.85","979.00","977.70","971.69","1,189.00","425.55","6,06,325","58,91,59,970.50","49,608"
"23-Oct-2024","EQ","985.65","1,013.45","956.30","977.40","996.00","995.85","987.13","1,189.00","425.55","9,01,235","88,96,32,200.55","84,880"
"22-Oct-2024","EQ","1,039.50","1,049.95","971.55","1,037.70","986.00","977.40","1,000.45","1,189.00","425.55","9,82,146","98,25,84,405.70","74,078"
